Date,y,,
2022-10-12,253141771.7,,
2022-10-13,276154660,,
2022-10-14,269073771.3,,
2022-10-15,254911993.9,,
2022-10-16,265533326.9,,
2022-10-17,251371549.5,,
2022-10-18,267303549.1,,
2022-10-19,256682216,,
2022-10-20,276154660,,
2022-10-21,240750216.4,,
2022-10-22,274506216.9,,
2022-10-23,249031192.7,,
2022-10-24,223395628.8,,
2022-10-25,283822315.3,,
2022-10-26,247200081,,
2022-10-27,291146762.1,,
2022-10-28,261848974.7,,
2022-10-29,247200081,,
2022-10-30,316782326.1,,
2022-10-31,263680086.4,,
2022-11-01,223395628.8,,
2022-11-02,300302320.7,,
2022-11-03,236213410.8,,
2022-11-04,276497868.4,,
2022-11-05,250862304.5,,
2022-11-06,263186945.5,,
2022-11-07,297875786.9,,
2022-11-08,272291363.5,,
2022-11-09,268636445.9,,
2022-11-10,244879481.3,,
2022-11-11,305185622.2,,
2022-11-12,235742187.2,,
2022-11-13,224777434.3,,
2022-11-14,283256116.4,,
2022-11-15,274118822.3,,
2022-11-16,252189316.5,,
2022-11-17,254016775.3,,
2022-11-18,268636445.9,,
2022-11-19,272375605.4,,
2022-11-20,236949654,,
2022-11-21,231439196.9,,
2022-11-22,258991482.2,,
2022-11-23,236949654,,
2022-11-24,225928739.8,,
2022-11-25,200213273.5,,
2022-11-26,249807387.1,,
2022-11-27,255317844.2,,
2022-11-28,240623292,,
2022-11-29,253481025.2,,
2022-11-30,281033310.5,,
2022-12-01,229602377.9,,
2022-12-02,240623292,,
2022-12-03,257154663.2,,
2022-12-04,268175577.4,,
2022-12-05,231289584,,
2022-12-06,292794732.7,,
2022-12-07,284283257.9,,
2022-12-08,258748833.6,,
2022-12-09,262153423.5,,
2022-12-10,250237358.8,,
2022-12-11,243428179,,
2022-12-12,280878668,,
2022-12-13,251939653.8,,
2022-12-14,236618999.1,,
2022-12-15,221298344.5,,
2022-12-16,234916704.2,,
2022-12-17,246832768.9,,
2022-12-18,233961255.2,,
2022-12-19,246114015.2,,
2022-12-20,251387886.9,,
2022-12-21,237324228.9,,
2022-12-22,232050357.1,,
2022-12-23,156458195.3,,
2022-12-24,247871972.4,,
2022-12-25,226776485.4,,
2022-12-26,202165083.9,,
2022-12-27,295336818.2,,
2022-12-28,247871972.4,,
2022-12-29,277757245.7,,
2022-12-30,274241331.2,,
2022-12-31,272483373.9,,
2023-01-01,274241331.2,,
